城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,车龄
南昌,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,12.6,1.6,自动,13,3.35,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
南昌,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,12.6,1.6,自动,17.78,3.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
南宁,大众 宝来 2014款 1.6L 自动舒适型,2014,大众,9.14,1.6,自动,13.93,5.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
南宁,大众 宝来 2014款 1.6L 自动舒适型,2014,大众,9.14,1.6,自动,,5.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
厦门,大众 宝来 2008款 1.6L 自动时尚型,2008,大众,17.55,1.6,自动,13,2.88,国三,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
厦门,大众 宝来 2008款 1.6L 自动时尚型,2008,大众,17.55,1.6,自动,,2.88,国三,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
深圳,大众 宝来 2014款 1.6L 手动舒适型,2014,大众,12,1.6,手动,12.62,4.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
深圳,大众 宝来 2014款 1.6L 手动舒适型,2014,大众,12,1.6,手动,,4.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
深圳,大众 宝来 2008款 1.6L 自动时尚型,2008,大众,14.71,1.6,自动,13,3,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
深圳,大众 宝来 2008款 1.6L 自动时尚型,2008,大众,14.71,1.6,自动,,3,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
深圳,大众 宝来 2014款 1.6L 自动舒适型,2014,大众,10.4,1.6,自动,8.66,5.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
苏州,大众 宝来 2011款 1.4T 自动豪华型,2011,大众,10,1.4,自动,16.04,4.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1335,涡轮增压,4缸,131,220,汽油,95号,直喷,10
苏州,大众 宝来 2011款 1.4T 自动豪华型,2011,大众,10,1.4,自动,,4.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1335,涡轮增压,4缸,131,220,汽油,95号,直喷,10
天津,大众 宝来 2011款 1.6L 手动时尚型,2011,大众,9,1.6,手动,11.7,2.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
天津,大众 宝来 2011款 1.6L 手动时尚型,2011,大众,9,1.6,手动,,2.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
天津,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,15,1.6,自动,13,4,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
天津,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,15,1.6,自动,,4,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
无锡,大众 宝来 2011款 1.6L 手动时尚型,2011,大众,11,1.6,手动,17.36,2.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
武汉,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,8,1.6,自动,13,3.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
武汉,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,8,1.6,自动,,3.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
武汉,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,11.6,1.6,自动,13,3.58,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
武汉,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,11.6,1.6,自动,,3.58,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
扬州,大众 宝来 2015款 质惠版 1.6L 自动舒适型,2015,大众,6.3,1.6,自动,,6.38,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,6
扬州,大众 宝来 2015款 质惠版 1.6L 自动舒适型,2015,大众,6.3,1.6,自动,13.6,6.38,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,6
长春,大众 宝来 2012款 1.6L 手动时尚型,2012,大众,8.6,1.6,手动,,3.8,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,9
长春,大众 宝来 2011款 1.4T 自动舒适型,2011,大众,12,1.4,自动,,3.65,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1335,涡轮增压,4缸,131,220,汽油,95号,直喷,10
长春,大众 宝来 2008款 1.6L 自动舒适型,2008,大众,13.1,1.6,自动,,3.99,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
长春,大众 宝来 2008款 1.6L 自动舒适型,2008,大众,13.1,1.6,自动,14.2,3.99,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,100,145,汽油,92号,多点电喷,13
长春,大众 宝来 2014款 1.6L 手动舒适型,2014,大众,6.27,1.6,手动,20.29,5.38,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,8.17,1.6,自动,,5.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,8.17,1.6,自动,13.93,5.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
重庆,大众 宝来 2015款 质惠版 1.6L 手动舒适型,2015,大众,6.99,1.6,手动,,5.33,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,6
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,11.07,1.6,自动,21.36,5.1,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,8.17,1.6,自动,19.52,5.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
无锡,大众 宝来 2011款 1.6L 手动时尚型,2011,大众,11,1.6,手动,11.7,2.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
深圳,大众 宝来 2014款 1.6L 自动舒适型,2014,大众,10.4,1.6,自动,13.93,5.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
重庆,大众 宝来 2015款 质惠版 1.6L 手动舒适型,2015,大众,6.99,1.6,手动,12.3,5.33,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,6
南昌,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,12.6,1.6,自动,13,3.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,11.07,1.6,自动,13.93,5.1,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
重庆,大众 宝来 2013款 1.6L 自动舒适型,2013,大众,8.17,1.6,自动,13.93,5.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1310,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
武汉,大众 宝来 2012款 1.6L 自动舒适型,2012,大众,8.11,1.6,自动,14.2,4.68,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,9
长春,大众 宝来 2014款 1.6L 手动舒适型,2014,大众,6.27,1.6,手动,12.62,5.38,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,7
包头,大众 宝来 2013款 1.6L 手动时尚型,2013,大众,6.02,1.6,手动,11.7,4.1,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4523/1775/1467,2610,450,1265,自然吸气,4缸,105,155,汽油,92号,多点电喷,8
深圳,大众 宝来 2011款 1.6L 自动时尚型,2011,大众,12.93,1.6,自动,13,3.78,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4540/1775/1467,2610,450,1305,自然吸气,4缸,105,155,汽油,92号,多点电喷,10
包头,大众 捷达 2015款 质惠版 1.4L 手动舒适型,2015,大众,3.5,1.4,手动,,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
包头,大众 捷达 2015款 质惠版 1.4L 手动舒适型,2015,大众,4.9,1.4,手动,,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
包头,大众 捷达 2015款 质惠版 1.4L 手动舒适型,2015,大众,4.9,1.4,手动,9.76,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
包头,大众 捷达 2015款 质惠版 1.4L 手动舒适型,2015,大众,6.13,1.4,手动,,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
保定,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,0.71,1.4,手动,9.22,4.99,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
保定,大众 捷达 2013款 1.6L 手动舒适型,2013,大众,4.5,1.6,手动,,4.18,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
保定,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,5.8,1.4,手动,9.22,4.99,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
保定,大众 桑塔纳 2013款 1.4L 手动风尚版,2013,大众,6.13,1.4,手动,,3.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,8
保定,大众 桑塔纳 2013款 1.4L 手动风尚版,2013,大众,6.13,1.4,手动,9.22,3.3,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,8
保定,大众 捷达 2013款 1.6L 手动舒适型,2013,大众,6.58,1.6,手动,10.67,4.18,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
保定,大众 捷达 2013款 1.6L 手动舒适型,2013,大众,6.58,1.6,手动,,4.18,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
常州,大众 桑塔纳 2015款 1.6L 自动舒适版,2015,大众,7.83,1.6,自动,8.67,5.98,国五,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1155,自然吸气,4缸,110,155,汽油,92号,多点电喷,6
成都,大众 捷达 2015款 质惠版 1.6L 自动时尚型,2015,大众,6.4,1.6,自动,,5.18,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
成都,大众 捷达 2015款 质惠版 1.6L 自动时尚型,2015,大众,6.4,1.6,自动,10.38,5.18,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
大连,大众 桑塔纳 2016款 1.6L 手动风尚版,2016,大众,6,1.6,手动,,5.2,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
大连,大众 桑塔纳 2016款 1.6L 手动风尚版,2016,大众,6,1.6,手动,9.76,5.2,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
德州,大众 捷达 2015款 质惠版 1.4L 手动舒适型,2015,大众,4.9,1.4,手动,,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
德州,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,6.21,1.4,手动,,3.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
德州,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,6.21,1.4,手动,9.22,3.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
德州,大众 捷达 2015款 1.6L 自动豪华型,2015,大众,12.35,1.6,自动,12.95,4.98,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
德州,大众 捷达 2015款 1.6L 自动豪华型,2015,大众,12.35,1.6,自动,,4.98,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
德州,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,6.21,1.4,手动,33.98,4.08,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
东莞,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,7,1.4,手动,,3.88,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
东莞,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,7,1.4,手动,9.22,3.88,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
福州,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,1,1.6,自动,10.84,6.6,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
福州,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,1,1.6,自动,,6.6,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
福州,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,1.43,1.6,自动,8.46,6.68,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
哈尔,大众 桑塔纳 2015款 1.4L 手动风尚版,2015,大众,2.2,1.4,手动,9.22,4.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
合肥,大众 桑塔纳 2016款 1.6L 手动风尚版,2016,大众,3.74,1.6,手动,,5.28,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
合肥,大众 桑塔纳 2016款 1.6L 手动风尚版,2016,大众,3.74,1.6,手动,9.76,5.28,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
合肥,大众 桑塔纳 2015款 1.6L 自动风尚版,2015,大众,3.92,1.6,自动,10.84,4.98,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1155,自然吸气,4缸,110,155,汽油,92号,多点电喷,6
合肥,大众 桑塔纳 2015款 1.6L 自动风尚版,2015,大众,3.92,1.6,自动,,4.98,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1155,自然吸气,4缸,110,155,汽油,92号,多点电喷,6
合肥,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,7.8,1.6,手动,,4.68,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
河源,大众 捷达 2015款 质惠版 1.6L 自动时尚型,2015,大众,4.77,1.6,自动,,5.5,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
呼和,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,5,1.6,手动,9.29,4.68,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
呼和,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,5,1.6,手动,,4.68,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
呼和,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,6.17,1.6,自动,10.07,5.9,国五,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
吉林,大众 捷达 2015款 1.4L 手动时尚型,2015,大众,7.44,1.4,手动,,4.1,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,90,132,汽油,92号,多点电喷,6
济南,大众 捷达 2015款 1.6L 手动舒适型,2015,大众,5.8,1.6,手动,10.67,4.12,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
济南,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,3.12,1.6,手动,,4.43,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
济南,大众 桑塔纳 2018款 1.5L 自动风尚版,2018,大众,2.12,1.5,自动,16.69,6.68,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1155,自然吸气,4缸,110,150,汽油,92号,多点电喷,3
昆明,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,6.3,1.6,手动,,4.58,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
昆明,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015,大众,6.3,1.6,手动,9.29,4.58,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
廊坊,大众 捷达 2015款 1.6L 自动舒适型,2015,大众,3.3,1.6,自动,,5.5,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
南昌,大众 捷达 2013款 1.6L 自动舒适型,2013,大众,8.13,1.6,自动,,4.39,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
南昌,大众 捷达 2013款 1.6L 自动舒适型,2013,大众,8.13,1.6,自动,11.76,4.39,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
南宁,大众 桑塔纳 2016款 1.6L 自动舒适版,2016,大众,6.15,1.6,自动,,5.5,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
厦门,大众 捷达 2013款 1.6L 自动舒适型,2013,大众,8.6,1.6,自动,11.76,5,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
厦门,大众 捷达 2013款 1.6L 自动舒适型,2013,大众,8.6,1.6,自动,,5,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1170,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
厦门,大众 捷达 2013款 1.6L 自动时尚型,2013,大众,7.27,1.6,自动,9.43,4.6,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
深圳,大众 捷达 2015款 质惠版 1.6L 自动舒适型,2015,大众,8.07,1.6,自动,11.46,4.9,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
深圳,大众 捷达 2015款 质惠版 1.6L 自动舒适型,2015,大众,8.07,1.6,自动,,4.9,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
沈阳,大众 捷达 2013款 1.6L 自动时尚型,2013,大众,8.16,1.6,自动,29.5,5.19,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,1120,自然吸气,4缸,110,160,汽油,92号,多点电喷,8
石家,大众 桑塔纳 2015款 1.6L 手动风尚版,2015,大众,3.59,1.6,手动,,4.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1120,自然吸气,4缸,110,155,汽油,92号,多点电喷,6
石家,大众 桑塔纳 2019款 1.5L 自动风尚版 国V,2019,大众,4.23,1.5,自动,10.63,6.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1155,自然吸气,4缸,110,150,汽油,92号,多点电喷,2
石家,大众 桑塔纳 2019款 1.5L 自动风尚版 国V,2019,大众,4.23,1.5,自动,,6.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1155,自然吸气,4缸,110,150,汽油,92号,多点电喷,2
石家,大众 桑塔纳 2015款 1.6L 手动风尚版,2015,大众,3.59,1.6,手动,,5.18,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1120,自然吸气,4缸,110,155,汽油,92号,多点电喷,6
石家,大众 捷达 2015款 质惠版 1.6L 自动时尚型,2015,大众,6.91,1.6,自动,24.51,5.88,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4487/1706/1470,2603,466,-,自然吸气,4缸,110,160,汽油,92号,多点电喷,6
石家,大众 桑塔纳 2016款 1.4L 手动风尚版,2016,大众,4.72,1.4,手动,10.83,4.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,90,132,汽油,92号,多点电喷,5
石家,大众 桑塔纳 2016款 1.6L 手动风尚版,2016,大众,2.88,1.6,手动,,4.7,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
石家,大众 桑塔纳 2016款 1.6L 手动舒适版,2016,大众,4.58,1.6,手动,14.63,5.28,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1115,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
苏州,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,8.5,1.6,自动,10.84,7.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
苏州,大众 桑塔纳 2016款 1.6L 自动风尚版,2016,大众,8.5,1.6,自动,,7.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4475/1706/1469,2603,466,1145,自然吸气,4缸,110,155,汽油,92号,多点电喷,5
太原,大众 桑塔纳 2013款 1.6L 手动风尚版,2013,大众,5,1.6,手动,,3.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4473/1706/1469,2603,466,1120,自然吸气,4缸,110,155,汽油,92号,多点电喷,8
